274 33403
42 100 60
54 194 10
35 53 39
19 200 23
68 61 64
260 268 73
51 90 17
131 118 64
225 264 89
79 118 17
264 50 52
141 158 5
67 75 97
183 261 38
257 124 99
171 77 94
55 34 86
272 165 99
166 233 50
268 7 6
160 13 37
170 212 97
23 154 15
258 187 68
264 176 66
32 171 61
45 235 9
67 47 54
60 57 35
261 76 19
248 113 73
273 219 75
127 122 100
57 176 18
266 238 8
20 19 31
222 261 5
66 95 67
34 12 29
65 267 12
190 230 68
77 80 46
88 36 32
165 116 80
164 175 65
159 212 6
81 144 97
46 109 33
166 236 91
214 254 76
123 225 85
169 201 7
201 180 25
138 227 26
79 128 42
222 165 45
102 270 97
119 167 30
15 255 98
175 229 61
25 211 76
52 86 22
174 150 47
210 71 6
218 154 43
234 231 41
247 144 97
85 103 44
187 137 41
92 162 59
26 71 67
144 190 56
26 78 49
258 123 48
20 97 25
263 64 50
262 261 22
269 26 19
179 92 89
33 62 5
267 68 40
51 67 41
75 204 21
201 24 82
255 86 36
40 196 91
76 228 5
240 109 86
205 217 3
202 273 80
107 210 22
222 212 36
9 94 31
261 5 42
33 229 70
100 271 31
189 166 27
171 264 65
21 164 61
227 199 10
6 8 45
198 183 29
172 169 32
241 152 20
17 72 45
94 3 84
164 169 8
184 11 51
226 206 72
222 272 4
16 198 9
235 38 60
262 245 33
39 61 37
161 119 88
145 108 21
150 273 51
170 137 69
231 151 86
78 38 71
9 48 83
151 243 44
247 246 74
101 16 73
204 131 63
41 40 54
176 204 78
223 186 65
186 23 88
33 75 55
256 16 5
159 18 1
114 207 36
17 206 58
214 24 19
177 152 37
224 222 8
19 240 62
212 56 64
129 265 39
201 164 4
44 196 17
59 231 58
271 103 81
153 116 79
262 23 24
208 4 59
64 69 46
92 201 36
96 66 75
22 20 26
273 222 84
147 238 73
154 155 73
217 53 29
210 233 30
95 98 88
8 71 99
153 84 98
144 144 2
241 205 68
87 50 30
3 274 73
81 230 17
165 193 58
147 103 90
238 217 22
173 170 77
157 47 92
21 87 73
92 160 87
195 5 30
49 79 29
11 88 51
198 51 96
269 76 64
1 246 52
172 21 43
182 263 22
199 95 64
228 166 9
131 209 83
43 51 33
118 123 17
214 182 46
99 32 32
47 19 37
20 3 82
34 56 43
156 188 17
82 191 24
106 1 5
271 51 77
189 145 56
255 76 92
263 102 42
91 49 8
127 241 100
89 208 23
237 259 17
257 17 87
66 223 57
148 254 19
109 25 64
10 20 75
55 62 26
182 268 79
32 236 45
130 9 99
257 223 50
188 188 4
250 67 75
52 23 10
245 29 37
149 161 7
12 2 3
230 43 45
30 273 4
3 239 96
115 78 96
99 130 83
248 42 11
114 4 74
85 188 46
194 116 31
77 36 77
214 238 64
172 130 24
252 131 65
140 215 33
178 160 71
2 225 81
82 59 88
210 61 39
249 145 78
266 106 37
54 117 26
96 17 65
63 274 23
37 230 64
48 266 1
211 82 84
180 39 51
149 274 34
142 31 97
10 23 47
101 258 72
144 32 48
59 224 46
239 238 18
269 20 44
100 26 98
89 182 20
81 269 21
144 135 61
9 226 6
246 199 44
12 160 26
104 78 71
40 233 64
189 46 65
126 3 61
115 52 42
160 225 26
118 269 59
1 161 87
180 237 26
82 47 38
192 125 19
85 226 53
242 261 71
273 165 73
236 79 12
266 200 66
142 60 81
166 101 91
36 19 48
236 137 18
80 66 87
165 27 34
265 202 34
78 209 53
180 250 34
24 154 39
130 247 15
149 17 16
200 194 29
43 262 35
178 107 38
245 74 15
52 218 38
116 24 20
148 62 65
237 67 59
203 174 4
34 4 54
80 53 33
123 205 56
24 143 71
136 55 9
5 199 10
232 199 45
100 187 32
195 175 61
138 111 19
246 25 67
82 255 59
193 212 49
88 158 31
77 41 24
61 59 69
64 264 47
98 119 60
82 251 38
21 92 30
226 81 23
66 99 83
105 191 64
7 102 81
27 30 62
273 99 37
236 263 39
271 106 69
109 183 78
101 137 72
157 269 99
153 200 57
116 94 75
66 26 13
255 143 83
53 59 67
142 254 20
49 168 5
20 254 90
251 100 38
252 196 26
67 108 46
78 92 72
195 14 61
253 258 4
267 128 92
87 112 5
102 254 30
65 272 17
4 22 44
167 146 17
101 14 39
69 104 14
18 235 28
23 148 100
80 94 15
198 166 55
217 56 31
204 7 6
230 270 80
180 41 8
65 124 14
168 132 86
95 53 92
137 232 67
110 155 72
1 87 19
179 115 45
207 244 29
274 149 2
65 59 40
130 38 53
247 29 5
225 33 90
262 9 49
205 19 42
262 19 76
98 171 73
210 68 65
231 269 10
117 267 78
217 240 79
15 228 49
208 20 50
240 55 68
101 117 2
73 242 57
195 112 57
197 234 55
126 38 54
11 222 78
19 127 30
112 105 12
171 106 4
35 113 92
118 83 98
166 179 24
143 34 20
104 144 97
229 39 12
7 141 54
248 220 48
192 39 10
177 179 69
268 147 79
98 205 14
34 194 81
248 65 36
141 183 73
146 106 29
147 57 7
61 89 45
82 268 76
81 72 91
108 51 43
44 272 28
64 60 97
97 152 18
23 261 34
36 135 96
173 197 12
5 222 69
169 121 60
32 9 25
140 31 76
159 11 45
218 7 84
66 19 91
233 209 73
247 37 3
189 38 100
104 141 57
107 191 33
78 72 12
111 234 16
255 82 34
190 128 98
45 225 18
186 250 68
263 140 53
54 198 64
95 249 73
132 178 31
269 174 62
210 44 26
150 145 47
146 268 22
210 195 79
141 54 1
166 101 67
111 219 96
192 233 48
65 56 16
18 33 13
234 20 79
139 61 83
233 156 14
93 55 89
176 39 99
194 69 15
205 137 86
174 109 5
192 145 29
231 167 44
208 178 100
202 243 48
53 18 71
33 165 31
125 163 24
148 262 75
84 206 59
263 170 14
111 241 39
119 105 68
109 79 42
133 91 90
210 263 51
200 268 44
255 157 59
73 241 27
92 264 41
86 59 66
185 124 38
125 192 57
146 154 29
3 158 24
26 161 73
122 200 29
153 125 61
145 131 45
115 2 36
173 142 74
24 64 6
225 150 40
205 123 96
15 72 16
128 15 42
62 176 99
180 198 23
135 67 69
24 205 91
100 166 92
164 260 18
238 111 87
50 198 47
221 127 30
218 177 72
48 154 13
195 88 53
170 46 56
153 254 77
62 239 70
94 129 67
13 85 82
65 85 25
87 100 62
105 206 57
57 96 13
53 245 30
167 100 71
165 214 13
213 93 71
10 169 64
135 250 3
181 230 87
37 15 2
183 231 96
84 166 63
26 23 3
29 147 90
255 195 83
222 65 48
123 222 73
31 228 77
134 100 56
143 181 84
3 75 60
25 56 64
209 118 52
215 61 79
223 175 35
219 134 22
258 267 45
31 225 18
178 251 88
206 237 67
4 269 17
242 147 65
240 58 79
178 122 89
154 76 87
222 133 60
267 172 86
127 130 82
33 101 78
79 47 64
144 241 88
232 227 14
71 125 78
8 148 83
118 55 55
41 231 71
186 41 28
197 250 36
71 159 85
177 211 47
13 32 2
231 80 60
171 135 75
239 145 92
78 252 83
